company_name,company_number
AIHILO LTD,15708068
NORTHWALESCOMPETITIONSANDPRIZES LTD,15711974
G COMPETITIONS LTD,15633536
FISHERMANSFORTUNE LTD,15634011
AZPA LTD.,15643091
TURBO COMPS LIMITED,15652986
POPAFFILIATE LTD,14870629
GUESS2GIVE LIMITED,7390205
GEOLOTTO LTD,7219755
BETSQUAD LIMITED,12142853
CROWDBET HOLDINGS LTD,14634439
NEUROBET LIMITED,15600744
"GOLDEN BOOT INVESTMENT CO., LTD",15622800
DUBAI SPORTS BET LTD,15416898
THINGS & TINGS LTD,15540340
LUCKYLUXE LTD,15543503
FAME NETWORK TECHNOLOGIES LIMITED,15581544
THE MAYFAIR CLUB & CASINO LTD,15288618
KAMIL KRZ LTD,15298935
BITFIRE TRADING LTD,15312668
GRIMSHAW GREEN LEISURE LIMITED,15317777
ICELAND FOODS EMPLOYEE LOTTERY LIMITED,15334804
MATSBEST LIMITED,3988801
BOB DIXON (CAMBRIDGE) LIMITED,2714782
CLUB 2000 BINGO LIMITED,5384985
BETFRANK247 LIMITED,13398335
GENIUS SPORTS UK LIMITED,4062777
LUXURIOUS PRO NETWORK GAMES LTD,14301263
NORTH WEST BOOKMAKERS LIMITED,NI016533
THE OTHER BROTHER LIMITED,11986338
NEW GLOBE BINGO AND SOCIAL CLUB LIMITED,SC040235
BETFRED SPORTS CAFE LIMITED,11258203
BLOXHAMS BOOKMAKERS LIMITED,2089229
MJ SPORTS BET LIMITED,13488217
ELITE COLLECTION CLUB LTD,11354241
RURAL PRIZE DRAWS LIMITED,15742065
PROSPER SPORTS LIMITED,15742284
CASTIGA PREMII LTD,12524013
GENTING CASINOS EGYPT LIMITED,2885976
DONE BROTHERS (CASH BETTING) LIMITED,1277703
CATCH MY BET LIMITED,8049943
HOOTON BINGO LIMITED,14737119
SCORPICKS LTD,13570414
JOTWAY LIMITED,8192105
THE A CASINO (SWANSEA) LIMITED,5153821
DE GARVEY LTD,12293378
GENIUS SPORTS TECHNOLOGIES LIMITED,10197219
KAIZEN INTERNET ENTERPRISES LTD,5817228
CASTLE LEISURE LTD,118558
S. N. W. PASTIMES LIMITED,1990171
WILLIAM J. SHAW PASTIMES LIMITED,2036448
SONCO UK OPCO LTD.,11735057
RIO BINGO & SOCIAL CLUB LTD,15788797
WATMOUGH PROMOTIONS LIMITED,11422842
COUNTY AIR AMBULANCE TRADING LIMITED,8308860
THE CHASE RETAIL LIMITED,3804934
TOTE INVESTORS LIMITED,252696
CASINO MK LIMITED,11554243
SECUTECH INTERNATIONAL LTD,15788881
FOR.T.8. LIMITED,11872466
ELECTROCOIN LIMITED,5925829
G S GAMING LTD.,7681045
WEVERYONE LTD,15795186
NATIONAL BINGO GAME ASSOCIATION LIMITED(THE),1993814
2 FAT LADIES LEISURE LIMITED,7645454
CAIN'S AMUSEMENTS LIMITED,4786731
LOTTOGPT LTD,14887273
C. W. H. RACING CLUB LIMITED,4794419
COMMUNICATIONS AGENCY SERVICES LIMITED,3015215
TOTE COMPUTER SERVICES LIMITED,813712
BRESBET LTD,13250493
GEORGE COOPER SWINDON LIMITED,4213443
JUST SLOTS LIMITED,8538077
STARVALE TECHNICAL SYSTEMS LIMITED,4792515
NETTED LIMITED,4384920
JDG PROFESSIONALS LTD,7787860
THOMAS WARREN LIMITED,4680804
REGAL AMUSEMENT MACHINE SALES LIMITED,3329800
BOOMER SKY LTD,10510550
WILLIAM HILL (SOUTHERN) LIMITED,467589
LAYSTALL LIMITED,934212
WILLIAM HILL EMPLOYEE SHARES TRUSTEE LIMITED,3722030
WILLIAM HILL CREDIT LIMITED,413846
WILLIAM HILL (RESOURCES) LIMITED,3272443
FRIENDS OF OLD EMANUEL RFC LIMITED,12743157
WINDSORS(SPORTING INVESTMENTS)LIMITED,607589
FRED PARKINSON MANAGEMENT LIMITED,878299
JAMES LANE (TURF ACCOUNTANTS) LIMITED,728959
RAFFLE INC LTD,15782146
JAMES LANE GROUP LIMITED,678873
BRADLOW LIMITED,679671
WIH CASINO CHAIN LTD,15420214
WILLSTAN RACING LIMITED,1127534
WILLIAM HILL (WARES) LIMITED,3972146
WILLIAM HILL (GOODS) LIMITED,3755109
WILLIAM HILL (NORTH WESTERN) LIMITED,503763
WILLIAM HILL (NORTH EASTERN) LIMITED,518619
UK CARP TECH LTD,12449983
CHR1SBETS LTD,15771237
BETRYAN LTD,14901010
RANGERS ENTERPRISES LTD.,SC105698
SMILES FOR MILES LIMITED,3915005
T.NEWTON(TURF ACCOUNTANTS)LIMITED,614838
MARVELGOLD LIMITED,1682383
CMI PROMOTIONS LIMITED,NI630924
GALLEON BINGO LIMITED,13426879
SR SKYE LIMITED,NI615059
STAR BINGO LIMITED,NI033751
FANTASY ISLAND LEISURE LIMITED,10342692
RAIN PROMOTIONS LIMITED,NI606695
THE VILLAGE INN FISHERMAN LIMITED,10477161
ARCADIA CASINO LIMITED,12551756
SPORT BROKERS (UK) LIMITED,12327268
PROPERTY LOTTO LTD,11944523
CROWN COMPETITIONS LTD,11977767
ROLLORPOKER LTD,SC410867
SUMNER GROUP LEISURE LIMITED,12932135
WILLIAM KING BOOKMAKERS,SC192411
CORINTHIAN CLUBS LIMITED,SC282420
RAFFLEMY LTD,10697699
POKER@YOURPLACE LIMITED,10599681
TDZ GAMING LTD.,11283309
VERSATILE GAMES LIMITED,11791413
CORBETT BOOKMAKERS (HOLDINGS) LIMITED,11166246
MAVERICK FORCE LTD,11246104
DOPAMINE LABS LTD,13074616
MOLE TIPS LIMITED,SC565635
AJSUKLTD LIMITED,14339319
CHAMPION'S CHOICE LTD,14788870
SWEID LTD,15863917
BETPOINT (CREDIT) LIMITED,2982413
SUCH & CO UK LTD,11463665
TOTE DIRECT LIMITED,2629919
UCORB LTD,3649347
HIPPODROME CASINO LIMITED,5497987
RICH REELS LTD,12065333
CREATIVE 10 LIMITED,15826402
LOIZOU LEISURE LIMITED,1603614
TEYBET LICENSE LTD,15772908
AGD AMUSEMENTS LTD,7174251
RAYNBEAU LIMITED,SC529299
COASTAL AMUSEMENTS LIMITED,707860
HOLLYWOOD CLUBS LTD,6614563
BUZZ GROUP LIMITED,794943
BUZZ LEISURE LIMITED,1171695
LEO LEISURE LIMITED,6025696
TOMS CORPORATE SERVICES LTD,12247124
THE SPORTING EXCHANGE (CLIENTS) LIMITED,3994762
QUEEN B COMPETITIONS LTD,13240595
TEESSIDE HOSPICE (TRADING) LIMITED,2265205
LOVVART WINNER LTD,14977435
LUCKY WIN LIMITED,10912644
SCHLEP GAMES UK LTD,14277668
GREEN GAMES LTD,14772000
PROTRACT LIMITED,SC489254
DABBLE SPORTS UK LTD,15785308
AZLOT LTD,14085206
JOBS UK SOUTHALL LTD,14913232
WIN THE DREAM LIMITED,12622053
ATLANTIC AMUSEMENTS LIMITED,1017494
ROBIN FLETCHER LIMITED,6218764
TRADE YOUR TRADE LIMITED,15812270
BETFRED GROUP HOLDINGS LIMITED,7717019
WHITTAKER ARCADES LIMITED,10734583
HIGGINS BOOKMAKERS LIMITED,1748400
CORNWALL HOSPICE CARE LOTTERY LIMITED,5724116
S & D BOOKMAKERS LIMITED,885118
WAYFARING LIMITED,NI665813
JOE HUDDLESTONE (WETHERBY) LIMITED,5202731
CRYPTOPOKER LTD,14955666
RM LEISURE LIMITED,NI647777
DRAGONI TECHNOLOGY LTD,10541011
THE NEW LOTTERY COMPANY HOLDINGS LIMITED,11188217
BB1 SPORTS BETTING LIMITED,10208477
PHOENIX LEISURE SUPPORT LIMITED,7742237
CLAFFY SPORT AND ENTERTAINMENT LIMITED,10220453
PACETECH SYSTEMS LIMITED,7269103
A1 AMUSEMENT SERVICES LIMITED,SC514381
CRASHBANDITS SLOTS LIMITED,15910377
NEWTON LEISURE HOLDINGS LTD,SC241284
FLUTTERS PORTRUSH LIMITED,NI058090
BEST CONNECT LIMITED,3461496
ZEROS TECH LTD,13734944
FANTASY ENTERPRISES LTD,NI694197
ULTRA DOEY LTD,13769818
THE SURE BETTOR LTD,11534121
UK CARP RAFFLES LTD,15101572
MR S BET LIMITED,15932580
YOUR SPORTS GROUP LTD,15055379
MM COMPETITIONS & COLLECTIBLES LTD,SC821603
SERENDIPITY ENTERTAINMENTS LIMITED,3242950
JACKPOT AMUSEMENTS LIMITED,4713547
THE AQUA CLUB LTD,15942340
POKER MILLION LIMITED,4043305
QDRD LTD,SC430049
HOPE HOUSE (LOTTERY) LTD,5066936
MERLIN LEISURE LTD,8250227
LILES BET LIMITED,8213961
PROJECT GAMES LTD,8318360
HEALTH LOTTERY TRUSTEE COMPANY LIMITED,7762530
M.G. LEISURE LIMITED,4066123
SOUTH WEST AMUSEMENTS LIMITED,4420373
FANTASY MONSTER LTD,SC613583
RECEIPT LOTTERY LTD,10488724
A.& G.(AMUSEMENTS)LIMITED,349369
ARCADIAN MARINADES LTD,12094216
BETTING LIMITED,2995200
LONDON CLUBS BRIGHTON LIMITED,5296120
LONDON CLUBS MANCHESTER LIMITED,3103451
LONDON CLUBS GLASGOW LIMITED,SC259438
METROPOLITAN INTERACTIVE LIMITED,14460789
LONDON CLUBS POKER ROOM LIMITED,3260731
SERIUS 1980 LIMITED,13676560
VALLEY COMPS LTD,15071549
SWEEP SOCIAL LIMITED,15916513
WINNERS BINGO LIMITED,4617444
LONDON CLUBS LEEDS LIMITED,5152382
CLERMONT LEISURE (UK) LIMITED,5443555
R & K 2024 LIMITED,15899454
SHOO 526 LIMITED,7547558
PREMIER CLUB LOTTERIES LIMITED,3622920
NOBLES CASINO GAMING LTD,15078035
ST. GILES HOSPICE (PROMOTIONS) LIMITED,3238435
THE LIFESTYLE LOTTERY LTD,12336807
GAMING ARCADES UK LTD,12326214
ENCHANTMEDIER LTD,15922506
CRASHING WAVES LIMITED,12798779
UPPER 90 TIPS LTD,10484647
SUE RYDER LOTTERY LIMITED,9479300
HYAMS GAMING LIMITED,13967711
CATS PROTECTION STRATEGIES FOR CATS LIMITED,12249367
CONNAUGHT LEISURE LIMITED,1520862
VOUGHT INTERNATIONAL LTD,15915172
A.K FAMILY LIMITED,15025449
CARDQUANT LTD,9814300
PIQME LTD,15952172
UNICORN INVESTMENTS(KENT) LIMITED,2082892
LEISURE ENTERTAINMENT LIMITED,4369378
AU SPORTS A LIMITED,15948753
VIVA LAS VEGAS LIMITED,5710574
IGT (UK 2) LIMITED,4006717
NATURAL SOLUTIONS SERVICES LIMITED,12475929
BET PAL UK LIMITED,15264972
RAFFLE RAINBOW LTD,15959700
WILLOWBROOK HOSPICE TRADING COMPANY LIMITED,2852669
EXCEL GAMING LIMITED,9237318
VICTORIA CLUB LIMITED,2558379
KLT TECH LTD,15121368
INDIGO NEWCO LTD,15963559
ST. ROCCO'S PROMOTIONS LIMITED,3034626
OXFORD BINGO LTD,8344565
SAMUEL BLACK LIMITED,9322679
AMVIOM LTD,14458905
GECO GAMING LTD.,7662325
BETM8 LTD,14242962
GOLDCHIP LTD,5214419
VIRTUE FUSION CM LIMITED,6725023
FLIP MEDIA LIMITED,9470284
SMARKETS (CLIENTS) LIMITED,11184989
MAXI COIN LTD,7318386
ANMAX LEISURE LIMITED,8886585
CYAN BLUE ODDS HOLDINGS LIMITED,11735001
VOLGAMMA LTD,10646298
CYAN BLUE ODDS USA LIMITED,11736817
ACCA SPORTS GAMING LTD,12711189
X AND O'S PAISLEY CROSS LTD.,SC235157
PRIZEPALACE LTD,15849016
NOBLES SEATON CAREW,740311
A.A. BAINES (RACING) LIMITED,1197389
MISS MONEYPENNYS COMPETITIONS LIMITED,15857351
WINNERS BINGO CLUBS LIMITED,5499260
"TRA COMMERCIAL INVESTMENT CO., LTD.",15009298
HILLSIDE (SPAIN NEW MEDIA) PLC,7833226
PLAYERS AMUSEMENTS LIMITED,6637793
ST JOHN'S DEAF COMMUNITY CENTRE,8594337
LUCKY STAR AMUSEMENTS LIMITED,8140500
SPORTSBETRAIDER LIMITED,10876924
TICKETGRANGE LIMITED,1738825
LOCAL HOSPICE LOTTERY LTD,3226004
JACK ADAMS BOOKMAKERS LTD,6945160
BOOM BOOM BOOM LTD,11489324
BOYLESPORTS (UK) LIMITED,4386537
BS RETAIL (NI) LIMITED,NI004101
D.A. ENTERTAINMENTS LIMITED,1260185
HESTVIEW LIMITED,1100741
COLIN BAGLEY LIMITED,6131213
SPORTS OUTCOME PROBABILITIES LIMITED,3672204
WILLIAM HILL ORGANIZATION LIMITED,278208
LEISURE COIN LIMITED,2632933
D MCGRANAGHAN LIMITED,NI006301
MOLONEY AUTOMATICS LIMITED,4127870
BESMARTBETS LTD,15987088
AXXS GAMING UK LTD,13086870
WHG SERVICES LIMITED,6714087
EDDIES BOOKMAKERS LTD,7580670
STABLEDUEL UK LTD,14574176
RACRBET LTD,15386195
TELEGRAM TIPS LIMITED,12360642
OZONE GAMING LIMITED,NI615956
KMI GROUP LIMITED,7480779
THE HANGOUT RETREAT LTD,15025257
T & E LEISURE LIMITED,14206778
PLAYTEK LIMITED,SC745592
BBAMBHRA12 LTD,12764335
FLUKI LTD,15017460
EXPLOSIV LTD,11533899
PURPLE PENNY (ILFRACOMBE) LIMITED (THE),920006
NORFOLK GREYHOUND RACING COMPANY LIMITED,338187
SEA SHELL GAMING LIMITED,15150615
SOUTHPORT PIER LIMITED,3706268
J G LEISURE LIMITED,5025434
PHOENIX GAMING (CORNWALL) LTD,7932776
SLH VENTURES LIMITED,1786925
INTERBET GLOBAL LTD,12370728
RISQ CAPITAL LTD,7207576
PINNACLE SPORTS IRELAND LTD,NI629077
VILOO GAME LTD,15107075
LIDDLE & MARRIOTT(ALFRETON)LIMITED,675248
DIAMOND GAMING LTD,15055699
ARBITRAGE BETTING LTD,15905125
FLETCHERS AUTOMATICS (REDNAL) LIMITED,653965
BONNE TERRE GAMING LIMITED,15883599
GIFT COMPETITIONS LTD,SC677143
VALUE CONNECTOR AGENCY LTD,15860036
UQXCHANGE LIMITED,13036023
ASTORIA CAPITAL T. PLC,14369928
BETSON LTD,10699958
CASINO 36 LIMITED,6584831
BIDANDRAFFLE LIMITED,15906795
CHAS. KENDALL (TURF ACCOUNTANT) LIMITED,839910
GOLDRUSH AMUSEMENTS LTD,4489886
JEMMS (UK) LTD,8021670
DAGG DEVELOPMENTS LTD,3770528
BETGALAXY LIMITED,15844526
POSTCODE EARTH TRUST,SC510917
AXIAL PARK LTD,15634827
ITZA PLEASURE LIMITED,1415042
TONY CLAYTON BOOKMAKERS LIMITED,13450554
SOCIALICITY GAMING LIMITED,12035662
K.W. READER & SONS LIMITED,2709454
AL GAMBLING CONSULTING LTD,12639823
MOCAT LIMITED,NI070973
KELLY BOOKMAKERS LIMITED,NI689122
STARDUST LEISURE LIMITED,1713293
POSTCODE LOCAL TRUST,SC503019
POSTCODE CHILDREN TRUST,SC472799
M F GERAGHTY (RACING) LIMITED,1157662
DRAGON BLACK LTD,15949458
FBA247 LTD,8820891
YX LEISURE & GAMING LIMITED,10539974
RACECOURSE DATA COMPANY LIMITED,8819973
FANTASYPRO TITANS LTD,16071870
WINCHESTER AUTOMATICS LIMITED,723154
NEW EMPIRE BINGO LIMITED,SC208719
RAFFLEQ LTD,16071380
JADE LEISURE LIMITED,8333080
AMUSEMENT MACHINE HIRE (SCOTLAND) LIMITED,SC532971
BETTING SHOP OPERATIONS LIMITED,5612444
GETGEARANDGADGETS LTD,14567538
HORSETRADER LTD,5014547
WM. NOBLE (AUTOMATICS) LIMITED,1361536
PSP LEISURE LIMITED,8673538
JCH LTD,16074363
LUCKYGAMES.COOL LIMITED,SC828640
SHORELINE FACTORS LTD.,NI611473
MIGHTY COMPETITIONS LTD,14606180
MEL GAMES LIMITED,15111502
SOUTHERN CITY LEISURE LIMITED,1318270
AUTO COMPS LTD,14854903
RESPONSIBLE GAMBLING CONSULTANCY LIMITED,9993848
THE SEAT LOTTERY SOCIETY,11157722
GAME COIN LIMITED,7805674
KH PROMOTIONS LIMITED,3295776
TRANSUNIVERSE PLAYHOUSE LTD,15076576
LEDGE TRADING LIMITED,15146726
CASWELL MANAGEMENT SOLUTIONS LIMITED,8061207
STARS GROUP HOLDINGS (UK) LIMITED,11316497
HJP KING ENTERTAINMENT LTD,15303681
KINGTECH LTD,13064695
BETSIDEKICK LTD,15382898
R & J RACING LIMITED,11306137
E.COOMES(NORWOOD)LIMITED,830712
EVO COMPETITIONS LIMITED,16079064
INFINITY 365 COMPETITIONS LTD,SC826382
LEPUS HOLDEM LIMITED,13790436
NIKOLAS SHAW LIMITED,1298220
OJCOMPETITIONS LTD,15295816
SPREADEX LIMITED,3720378
FAR GAMES LTD,15127974
ATLAS YATIRIM MENKUL DEGERLER LIMITED,15076095
OLYMPIA AMUSEMENT CENTRE LIMITED,1435417
CASE AMUSEMENTS LIMITED,16087975
M.T. HORSERACING LIMITED,4672091
SLOTS OF FUN LTD,NI629371
VICKERS.BET LTD,12312275
SLIDE GAMING LTD,12988251
OLGA ARCADIA GROUP (UK) LIMITED,15217969
LAPCOST LTD,16058476
GUIDE2LOTTO LIMITED,7788007
SPRINGSTATE LIMITED,14137713
541 COMPETITIONS LTD,16061164
IGT (UK 3) LIMITED,12488086
JETSET COMPETITIONS LIMITED,16061902
SULTAN SPORTSBOOK LTD,15700565
RR BET INVESTING LIMITED,16092264
THE GAMING BOARDROOM LTD,13752453
THE HOSPICE LOTTERY PARTNERSHIP LIMITED,3458520
BRIGHTON MARINE PALACE & PIER COMPANY (THE),ZC000164
UK YOU TIME JOGOS LIMITED,15059851
IELB LTD,15223666
WINALOT COMPETITIONS LTD,15524122
247GAMBLING.CO.UK LTD.,7542550
THOMAS'S ENTERTAINMENTS (LEICESTER) LIMITED,846504
DANNY MCNAB BOOKMAKERS LIMITED,16010543
LEISURE ISLAND (SCOTLAND) LTD.,SC354568
"GOTOP NETWORK TECHNOLOGY CO., LTD.",16008501
SHETLAND TURF ACCOUNTANTS LIMITED,SC147782
MIRAGE CENTRES LIMITED,5745527
BAR-ONE RACING LIMITED,5020054
BA CLUBS LIMITED,6003398
GRACEGENIUS ENTERPRISES LTD,11470149
PLYMOUTH CASINO LTD,16015252
LES AMBASSADEURS ONLINE LIMITED,11183191
BLUE GOLD PROMOTIONS LTD,15215069
AWTA LOTTORACING COMMUNITY INTEREST COMPANY,9425994
KEITH HODSON RACING LIMITED,7121090
BUDDEN CONSULTING LTD,13696683
TRADE-MASTER NETWORK LTD,16016395
FORM IN-SIGHT TRADING LTD,14653219
LOTTERY.COM LONDON LIMITED,15052811
TAYLOR'S ENTERTAINMENTS LIMITED,SC052964
STAR SPORTS (ON COURSE) LIMITED,7141461
DREAM442 LTD,14497121
SUN SHINE CORPORATION LTD,14044380
TJ MEDIA MANAGEMENT LIMITED,16046458
BINGO CLUBS UK LIMITED,7824296
BARRY CURRAN (DONCASTER) LTD,4455473
ALEXERIN MANAGEMENT LIMITED,12518527
ACE AND CHIPS LIMITED,15076336
NEWBRIDGE AMUSEMENTS LIMITED,8902957
FURNESS SERVICES (CUMBRIA) LIMITED,8007042
MAXIMUM GAME INTERNATIONAL LIMITED,11719555
B. & N. REGAL (ABINGDON) LIMITED,1298271
MAB BOOKMAKERS LIMITED,SC410118
CHAMPION GAMING LIMITED,14945479
GOLD RUSH COMPS LTD,16102041
HOSPICE REALISATIONS LIMITED,SC202356
WOODLANDS HOSPICE LIMITED,3278425
COLOSSUSBETS LIMITED,7981562
BETZAPP LIMITED,8638223
PLAYBOOK GAMING LIMITED,10889074
BOSS VEGAS CASINO$ LTD,13968746
CARLY COMPETITIONS LTD,15320582
UBET LTD,14278233
TEMPTATION TASTE OF PORTUGAL LTD,10752005
BIG68 FOOTBALL INVESTMENT GROUP LTD,15127544
CODIFLY LTD,15028764
DREAM DRAWS COMPETITION LIMITED,16107852
BINGOAL HOLDINGS LIMITED,13936834
M.A.D.E CORPORATION LTD,13191243
CROWNBET LIMITED,16111597
PLAYVA LTD,16111307
SIMS AUTOMATICS LIMITED,SC076867
1ST AND LAST GAMING & EVENTS LIMITED,16114862